Lead Number,Lead Origin,Lead Source,ToBeConverted,TotalVisits,Total Time Spent on Website,Last Activity,Lead Quality,Last Notable Activity
656400,Landing Page Submission,Direct Traffic,0,3,365,Email Opened,,Email Opened
656399,Landing Page Submission,Google,1,6,274,Email Opened,Might be,Email Opened
656385,API,Referral Sites,0,4,179,Email Opened,,Email Opened
656382,Landing Page Submission,Google,0,15,753,Unreachable,Might be,Modified
656381,Landing Page Submission,Direct Traffic,0,3,1346,Email Opened,,Email Opened
656378,API,Google,0,7,277,Email Opened,,Email Opened
656362,API,Google,0,2,90,Email Opened,,Email Opened
656359,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
656356,Landing Page Submission,Google,1,9,1289,Email Opened,High in Relevance,Email Opened
656354,API,Referral Sites,0,8,246,Email Opened,,Email Opened
656345,Landing Page Submission,Google,0,11,116,Page Visited on Website,,Page Visited on Website
656340,API,Olark Chat,0,0,0,Email Opened,,Email Opened
656331,Landing Page Submission,Google,1,5,472,Had a Phone Conversation,Might be,Had a Phone Conversation
656327,API,Google,0,2,395,Email Opened,,Email Opened
656276,API,Olark Chat,0,0,0,Unreachable,,Unreachable
656271,API,Olark Chat,0,0,0,Email Opened,,Modified
656265,Landing Page Submission,Direct Traffic,1,4,1354,Unsubscribed,Might be,Unsubscribed
656259,Landing Page Submission,Organic Search,1,5,1102,Email Opened,Low in Relevance,Email Opened
656233,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
656231,API,Google,0,2,1268,Email Opened,Not Sure,Email Opened
656213,API,Organic Search,1,5,1354,Email Opened,Might be,Modified
656184,API,Referral Sites,1,3,1561,Had a Phone Conversation,Might be,Modified
656176,Landing Page Submission,Google,1,10,1128,Email Opened,High in Relevance,Email Opened
656126,API,Organic Search,1,4,1341,Email Opened,Worst,Email Opened
656120,Landing Page Submission,Google,0,2,250,Form Submitted on Website,,Modified
656096,API,Organic Search,0,2,250,Email Opened,Might be,Email Opened
656078,API,Organic Search,0,2,248,Email Opened,,Email Opened
656072,Landing Page Submission,Direct Traffic,0,2,402,Unsubscribed,Not Sure,Unsubscribed
656049,API,Referral Sites,0,1,235,Converted to Lead,Not Sure,Modified
656036,API,Organic Search,0,6,125,Email Opened,Not Sure,Email Opened
656031,API,Organic Search,0,2,236,Converted to Lead,Not Sure,Modified
656030,API,Referral Sites,0,9,110,Email Opened,Not Sure,Email Opened
656015,API,Organic Search,0,7,265,Email Bounced,Might be,Email Bounced
655953,Landing Page Submission,Google,0,7,109,Email Opened,Might be,Email Opened
655949,Landing Page Submission,Google,0,3,98,Email Opened,,Modified
655940,Landing Page Submission,Referral Sites,0,7,315,Email Opened,,Email Opened
655936,API,Google,0,2,339,Unreachable,Not Sure,Modified
655916,Landing Page Submission,Direct Traffic,0,3,211,Email Opened,Not Sure,Email Opened
655899,Landing Page Submission,Direct Traffic,1,2,703,Email Opened,Might be,Email Opened
655889,Landing Page Submission,Organic Search,0,13,408,Email Opened,,Email Opened
655886,API,Referral Sites,0,11,366,Email Opened,Low in Relevance,Modified
655798,Landing Page Submission,Organic Search,0,5,106,Unreachable,Not Sure,Modified
655793,Landing Page Submission,Google,1,2,1099,SMS Sent,Might be,Modified
655782,API,Organic Search,0,11,306,Page Visited on Website,,Modified
655777,API,Google,0,9,290,Page Visited on Website,,Page Visited on Website
655772,API,Organic Search,0,11,220,Page Visited on Website,Might be,Modified
655766,Landing Page Submission,Google,1,8,235,Email Opened,Low in Relevance,Modified
655736,Landing Page Submission,Direct Traffic,0,6,25,Email Opened,,Email Opened
655723,API,Organic Search,0,7,463,Unreachable,Might be,Modified
655719,Landing Page Submission,Direct Traffic,0,2,398,Email Opened,Not Sure,Email Opened
655694,API,Organic Search,0,3,623,Email Opened,Not Sure,Email Opened
655685,Landing Page Submission,Google,0,4,281,Email Opened,Might be,Email Opened
655682,Landing Page Submission,Direct Traffic,0,3,46,Email Link Clicked,Not Sure,Email Link Clicked
655666,API,Olark Chat,0,0,0,Olark Chat Conversation,Worst,Modified
655665,Landing Page Submission,Google,1,9,1468,Page Visited on Website,Low in Relevance,Modified
655661,Landing Page Submission,Organic Search,0,5,615,Email Bounced,Not Sure,Email Bounced
655658,API,Google,0,6,424,Email Opened,,Modified
655639,Landing Page Submission,Google,0,4,3,Email Opened,,Email Opened
655628,API,Referral Sites,0,3,64,Email Opened,,Modified
655578,Landing Page Submission,Direct Traffic,1,2,107,Email Opened,Might be,Email Opened
655569,API,Referral Sites,0,3,150,Email Opened,,Email Opened
655557,Landing Page Submission,Google,0,5,663,Unreachable,Might be,Modified
655552,Lead Add Form,Reference,1,0,0,SMS Sent,Might be,Modified
655541,Lead Add Form,Welingak Website,1,0,0,SMS Sent,,Modified
655522,Lead Add Form,Reference,1,0,0,Email Opened,High in Relevance,Email Opened
655520,Lead Add Form,Welingak Website,1,0,0,Olark Chat Conversation,,Olark Chat Conversation
655510,API,Organic Search,0,3,185,Converted to Lead,Might be,Modified
655497,Landing Page Submission,Direct Traffic,0,8,321,Email Opened,,Email Opened
655496,Landing Page Submission,Google,1,4,1357,SMS Sent,Might be,Modified
655492,Landing Page Submission,Direct Traffic,0,4,1447,SMS Sent,,Modified
655457,Lead Add Form,Reference,1,1,990,Page Visited on Website,Low in Relevance,Page Visited on Website
655450,API,Google,0,2,44,Page Visited on Website,,Page Visited on Website
655437,API,Referral Sites,0,2,56,Olark Chat Conversation,,Modified
655429,Landing Page Submission,Google,0,3,1412,SMS Sent,Not Sure,Modified
655427,API,Google,0,2,374,Email Opened,,Modified
655423,Landing Page Submission,Google,1,4,746,Email Opened,Low in Relevance,Email Opened
655406,Lead Add Form,Welingak Website,1,0,0,SMS Sent,,Modified
655405,API,Google,0,2,175,Page Visited on Website,,Page Visited on Website
655404,Landing Page Submission,Direct Traffic,0,4,365,Email Opened,,Email Opened
655403,API,Google,0,2,102,Email Opened,,Email Opened
655382,API,Referral Sites,0,4,248,Olark Chat Conversation,,Modified
655379,Landing Page Submission,Google,0,6,351,Email Opened,,Modified
655375,Landing Page Submission,Google,1,3,267,SMS Sent,Might be,Modified
655371,Landing Page Submission,Google,0,7,238,Form Submitted on Website,,Modified
655366,API,Google,0,2,170,Olark Chat Conversation,,Modified
655360,Landing Page Submission,Organic Search,0,22,59,Page Visited on Website,,Page Visited on Website
655352,Lead Add Form,Reference,1,,205,,High in Relevance,Modified
655351,Landing Page Submission,Direct Traffic,0,7,150,Email Link Clicked,,Email Link Clicked
655349,Landing Page Submission,Organic Search,1,5,1250,Email Opened,Might be,Email Opened
655342,Landing Page Submission,Organic Search,0,5,255,SMS Sent,,Modified
655338,API,Referral Sites,0,1,153,Converted to Lead,,Modified
655337,Lead Add Form,Reference,1,0,0,Email Opened,High in Relevance,Email Opened
655334,API,Olark Chat,0,0,0,Olark Chat Conversation,,Olark Chat Conversation
655323,Landing Page Submission,Google,0,3,217,SMS Sent,,Modified
655315,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
655287,Landing Page Submission,Direct Traffic,0,2,2,Form Submitted on Website,Low in Relevance,Modified
655281,API,Olark Chat,0,0,0,Email Opened,,Email Opened
655277,API,Referral Sites,0,3,345,Email Opened,,Email Opened
655270,Lead Add Form,Reference,1,0,0,Email Opened,Low in Relevance,Modified
655260,Landing Page Submission,Direct Traffic,0,2,183,SMS Sent,Not Sure,Modified
655256,API,Olark Chat,0,0,0,Olark Chat Conversation,Worst,Modified
655241,Landing Page Submission,Google,0,9,181,Page Visited on Website,,Page Visited on Website
655240,API,Organic Search,0,3,677,Email Opened,Not Sure,Modified
655227,API,Google,0,2,134,Email Opened,,Email Opened
655224,Landing Page Submission,Direct Traffic,0,4,432,SMS Sent,,Modified
655211,API,Olark Chat,1,0,0,Olark Chat Conversation,Might be,Modified
655206,API,Referral Sites,0,4,396,Email Opened,,Email Opened
655192,Landing Page Submission,Google,0,4,163,Olark Chat Conversation,,Modified
655191,API,Olark Chat,0,0,0,Email Link Clicked,Not Sure,Email Link Clicked
655175,Lead Add Form,Reference,1,0,0,Email Opened,Low in Relevance,Email Opened
655165,Landing Page Submission,Direct Traffic,1,5,1491,Email Opened,High in Relevance,Email Opened
655162,Landing Page Submission,Direct Traffic,0,2,13,Email Opened,,Email Opened
655160,API,Referral Sites,0,5,133,Olark Chat Conversation,,Modified
655159,Landing Page Submission,Google,0,4,825,Email Opened,Not Sure,Email Opened
655156,Landing Page Submission,Direct Traffic,0,4,217,Email Opened,,Email Opened
655154,API,Olark Chat,0,0,0,Email Opened,Worst,Modified
655140,Landing Page Submission,Google,0,3,110,SMS Sent,Might be,Modified
655134,API,Organic Search,0,2,100,Converted to Lead,,Modified
655133,Landing Page Submission,Direct Traffic,1,4,1385,Email Opened,Might be,Email Opened
655128,API,Organic Search,0,5,442,Email Link Clicked,,Email Link Clicked
655125,Landing Page Submission,Google,0,4,1640,Olark Chat Conversation,,Modified
655122,API,Google,1,3,578,Email Opened,,Email Opened
655119,Landing Page Submission,Organic Search,0,3,23,Email Opened,,Email Opened
655111,Lead Add Form,Welingak Website,1,0,0,Email Opened,,Email Opened
655103,API,Referral Sites,0,3,235,Email Opened,,Email Opened
655091,API,Organic Search,0,3,241,Converted to Lead,,Modified
655079,API,Google,0,2,75,Email Opened,,Email Opened
655078,Landing Page Submission,Direct Traffic,0,4,439,Email Opened,Might be,Email Opened
655077,API,Google,0,2,1491,Email Opened,,Email Opened
655075,Lead Add Form,Reference,1,0,0,Email Opened,Low in Relevance,Modified
655071,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
655068,Landing Page Submission,Google,0,3,262,Email Opened,,Email Opened
655065,Landing Page Submission,Google,0,5,486,Email Opened,,Email Opened
655061,API,Google,1,4,913,Email Opened,Low in Relevance,Modified
655036,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
655025,API,Olark Chat,1,0,0,Email Opened,,Modified
655024,Landing Page Submission,Organic Search,0,4,92,Email Link Clicked,Not Sure,Email Link Clicked
655021,API,Google,0,7,333,Email Opened,,Email Opened
655011,API,Referral Sites,0,11,101,Email Opened,,Modified
655005,Landing Page Submission,Direct Traffic,0,2,1429,Email Opened,Not Sure,Email Opened
654971,Landing Page Submission,Organic Search,0,11,127,Email Opened,Not Sure,Email Opened
654968,Landing Page Submission,Google,0,5,362,Unreachable,Might be,Modified
654955,Landing Page Submission,Google,0,3,1132,Unreachable,Might be,Modified
654947,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
654934,Landing Page Submission,Google,0,2,125,Olark Chat Conversation,,Modified
654918,Landing Page Submission,Direct Traffic,1,2,1012,Form Submitted on Website,,Modified
654914,Landing Page Submission,Direct Traffic,0,5,357,Email Opened,,Email Opened
654909,API,Olark Chat,1,0,0,Email Opened,Might be,Modified
654908,API,Organic Search,0,3,232,Unreachable,Not Sure,Modified
654894,Landing Page Submission,Organic Search,1,3,829,Email Opened,Might be,Email Opened
654886,API,Google,0,8,717,Email Opened,Low in Relevance,Email Opened
654869,Landing Page Submission,Google,1,3,1208,Olark Chat Conversation,Might be,Modified
654842,Landing Page Submission,Direct Traffic,0,3,1577,Email Opened,,Email Opened
654831,Landing Page Submission,Google,0,7,185,SMS Sent,,Modified
654822,Landing Page Submission,Google,0,2,127,Converted to Lead,,Modified
654809,Landing Page Submission,Organic Search,0,6,283,Email Opened,,Email Opened
654786,Landing Page Submission,Organic Search,0,6,361,Email Opened,,Email Opened
654724,API,Google,0,2,394,Email Link Clicked,,Email Link Clicked
654712,Landing Page Submission,Google,0,4,347,Email Bounced,,Modified
654703,API,Organic Search,0,7,133,Email Opened,Might be,Email Opened
654659,API,Organic Search,0,2,151,Email Opened,Not Sure,Modified
654613,Landing Page Submission,Direct Traffic,0,3,308,Email Opened,High in Relevance,Modified
654594,Landing Page Submission,Direct Traffic,1,7,1172,Email Opened,,Email Opened
654579,Landing Page Submission,Direct Traffic,0,2,178,Email Opened,,Email Opened
654576,API,Google,1,3,1712,Form Submitted on Website,Might be,Modified
654574,Landing Page Submission,Organic Search,0,7,585,SMS Sent,,Modified
654572,API,Google,0,1,41,Converted to Lead,,Modified
654567,Landing Page Submission,Referral Sites,1,5,1342,Email Opened,,Email Opened
654528,API,Olark Chat,0,0,0,Email Opened,,Modified
654525,API,Organic Search,1,9,1125,Email Opened,Might be,Email Opened
654519,Landing Page Submission,Organic Search,1,13,373,Email Opened,Might be,Email Opened
654499,API,Organic Search,0,3,316,Email Opened,,Email Opened
654492,API,Organic Search,1,6,1779,Email Opened,Low in Relevance,Email Opened
654491,API,Olark Chat,0,0,0,Email Opened,,Modified
654482,API,Organic Search,0,1,1295,Converted to Lead,,Modified
654479,Landing Page Submission,Google,0,4,1158,Email Opened,,Email Opened
654471,API,Olark Chat,1,5,1387,Email Opened,High in Relevance,Email Opened
654469,API,Referral Sites,0,3,1641,SMS Sent,Not Sure,Modified
654456,API,Google,0,2,226,Email Opened,,Modified
654453,Landing Page Submission,Google,1,1,598,Converted to Lead,Not Sure,Modified
654441,API,Google,1,3,1292,Email Opened,Might be,Modified
654434,Landing Page Submission,Google,1,9,888,Email Opened,Might be,Email Opened
654429,Landing Page Submission,Google,0,3,242,Email Opened,,Email Opened
654415,Landing Page Submission,Google,0,4,332,Email Opened,,Email Opened
654395,Landing Page Submission,Direct Traffic,1,3,1350,Email Opened,,Email Opened
654393,Landing Page Submission,Google,0,6,192,SMS Sent,,Modified
654352,Landing Page Submission,Google,0,5,409,Email Opened,,Email Opened
654342,API,Organic Search,0,1,37,Converted to Lead,Not Sure,Modified
654326,API,Olark Chat,1,7,628,Email Opened,Low in Relevance,Email Opened
654319,Landing Page Submission,Direct Traffic,0,1,68,Email Bounced,,Modified
654317,Landing Page Submission,Google,0,7,385,Email Opened,,Email Opened
654316,API,Olark Chat,0,0,0,Olark Chat Conversation,Low in Relevance,Modified
654314,API,Organic Search,1,5,1291,Converted to Lead,Not Sure,Modified
654291,Landing Page Submission,Google,0,3,239,Email Opened,,Email Opened
654283,API,Organic Search,0,3,726,Email Opened,,Modified
654278,API,Organic Search,0,13,99,Olark Chat Conversation,Not Sure,Modified
654275,Landing Page Submission,Google,1,6,1092,Page Visited on Website,,Page Visited on Website
654254,Landing Page Submission,Organic Search,0,2,414,Converted to Lead,,Modified
654246,API,Google,1,3,1152,Email Opened,Low in Relevance,Email Opened
654224,API,Google,0,2,156,Page Visited on Website,,Modified
654218,Landing Page Submission,Google,0,7,305,Email Opened,Not Sure,Email Opened
654173,Lead Import,Facebook,1,,844,,Might be,Modified
654174,Lead Import,Facebook,0,0,0,Email Opened,Not Sure,Email Opened
654175,Lead Import,Facebook,0,,11,,Not Sure,Modified
654176,Lead Import,Facebook,0,0,0,Email Opened,Not Sure,Email Opened
654177,Lead Import,Facebook,0,,131,,Not Sure,Modified
654178,Lead Import,Facebook,0,,129,,Might be,Modified
654179,Lead Import,Facebook,0,,19,,Might be,Modified
654181,Lead Import,Facebook,0,,1517,,Not Sure,Modified
654182,Lead Import,Facebook,0,,32,,Might be,Modified
654183,Lead Import,Facebook,0,0,0,Email Opened,Might be,Email Opened
654184,Lead Import,Facebook,0,0,0,Email Opened,Not Sure,Modified
654185,Lead Import,Facebook,1,,1608,,Might be,Modified
654186,Lead Import,Facebook,0,,103,,Might be,Modified
654187,Lead Import,Facebook,1,,1012,,Low in Relevance,Modified
654188,Lead Import,Facebook,0,0,0,Email Opened,High in Relevance,Modified
654189,Lead Import,Facebook,1,0,0,Email Opened,High in Relevance,Email Opened
654190,Lead Import,Facebook,0,,345,,,Modified
654191,Lead Import,Facebook,0,0,0,Email Opened,,Email Opened
654192,Lead Import,Facebook,0,,97,,,Modified
